Dấu thời gian,1. EVALUATION SESSION DETAILS,DATE,SIM REGISTRATION,MODULE,TRAINEE RANK,"EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment reflected VNA operational standards]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment criteria were clearly briefed and debriefed]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Competencies were evaluated fairly (not task-based)]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Scenarios enabled demonstration of overall competency]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Operational and environmental conditions were appropriate and]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Representative of real operations]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [The examiner allowed me to perform without unnecessary interventions]","EVALUATION COMMENTS:
Was the evaluation realistic, fair, and representative of operational performance?
If not, explain what reduced assessment validity in the next question.",Explain what reduced assessment validity:,DATE,SIM REGISTRATION:,MODULE:,TRAINEE RANK:,"TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Training effectively address any identified weaknesses identified during Day 1 evaluation]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Decision-making (PSD) and Situation Awareness (SAW) improved compared to Day 1]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Workload management (WLM) and CRM (COM/LTW) were effectively developed]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Automation and manual flight path management (FPA/FPM) improved]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Instructor used facilitation and coaching (not directing)]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Debrief effectively linked performance gaps to operational improvement]","INSTRUCTION COMMENTS:
What would have improved your learning during this session (e.g. scenario design, instructor method, level of challenge)?",TRAINING SYSTEM RISK:,PRIMARY THREAT,FREQUENCY,MANAGED,"4. TRAINEE REFLECTION:
Did the SIM sessions improve your competencies for future similar operational situation(s)?","5. SUMMARY:
What should VNA CHANGE to improve checking/training effectiveness and operational safety?"
01/06/2026 1:50:52,4A,30/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,31/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Instructor method,,ENVIRONMENT,RARE,YES,Yes,
01/06/2026 4:12:11,4A,30/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,31/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Instructor method, level of challenge",,TECHNICAL,FREQUENT,YES,Yes,
01/06/2026 8:39:53,4A,27/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,28/05/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Real scenarios from instructors gave us helpful and deep learn for every aspect. ,,OPERATIONAL,RARE,YES,Good,
02/06/2026 10:45:15,P,28/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,29/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,Technical data/FlySmart/Lido mPilot issue,OPERATIONAL,OCCASIONAL,YES,Yes,No
03/06/2026 15:59:40,4AB LPC,01/06/2026,VN-036,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,02/06/2026,VN-036,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Study and pratice more,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,Yes,None
04/06/2026 19:06:35,Proficient,23/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,24/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,N/a,,TECHNICAL,OCCASIONAL,YES,Yes,N/a
05/06/2026 6:03:49,Sim,01/06/2026,VN-018,4A,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,02/06/2026,VN-018,4B,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,TECHNICAL,RARE,YES,"Yes
","Nil
"
08/06/2026 14:50:22,Flight control sys.,07/06/2026,VN-018,4A,DPE,HIGH,HIGH,HIGH,MED,HIGH,HIGH,HIGH,YES,,08/06/2026,VN-018,4B,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,More clearly about Bomb on board . ,Simulator scheduling,ENVIRONMENT,FREQUENT,YES,Yes,
09/06/2026 9:56:23,Sim A320,06/06/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,07/06/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Scenario design
Instructor method
Level of challenge","320/321 differences (limitations, procedures,..)",OPERATIONAL,RARE,YES,Yes,
09/06/2026 16:01:50,Sim4ab,06/06/2026,VN-026,4A,FO,MED,HIGH,MED,MED,HIGH,MED,HIGH,YES,,06/06/2026,VN-026,4B,FO,MED,HIGH,HIGH,HIGH,HIGH,HIGH,No,Scenario unrealistic,TECHNICAL,RARE,YES,Yes,
11/06/2026 16:10:43,4ab summer,04/06/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,05/06/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,manual handling during final approach (cross wind 10-20kt) with ILS raw data with and without managed thrust. ,,ENVIRONMENT,OCCASIONAL,YES,yes,all good with me
13/06/2026 1:46:31,4ab,06/06/2026,VN-036,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,07/06/2026,VN-036,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Na,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,RARE,YES,Yes,Na
13/06/2026 20:08:52,.,12/06/2026,VN-026,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,13/06/2026,VN-026,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,.,.,ENVIRONMENT,OCCASIONAL,YES,Y,.
14/06/2026 12:51:02,4ab,11/06/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,12/06/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Improve skill and communication ,"Simulator limitation (faults, equipment, supplies)",OPERATIONAL,FREQUENT,YES,Yes,
14/06/2026 12:55:09,Sim 4AB a320,11/06/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,12/06/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Instructor method,,ATC,RARE,YES,Yes,No
16/06/2026 1:24:52,4A,12/06/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,13/06/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NIL,"Simulator limitation (faults, equipment, supplies), Buồng sim VN001 quá cũ, dẫn đến một số task được thực hiện khá khó khăn.",OPERATIONAL,FREQUENT,YES,Yes,NIL
17/06/2026 10:15:39,Sim4a,14/06/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,14/06/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Knowledge, decision, improve my procedures",,TECHNICAL,FREQUENT,YES,"Yes , improve a lot ",
17/06/2026 10:28:51,Sim recurrent,14/06/2026,VN-018,4A,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,15/06/2026,VN-001,4B,LSC,MED,HIGH,HIGH,MED,HIGH,MED,Nil,Simulator scheduling,ENVIRONMENT,OCCASIONAL,YES,Yes,Nil
18/06/2026 12:52:48,Sim 4AB,12/06/2026,VN-026,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,13/06/2026,VN-026,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,OCCASIONAL,YES,Absolutely,Continue the good work VNA is doing
20/06/2026 7:46:30,4B,19/06/2026,VN-001,4A,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,20/06/2026,VN-001,4B,FI,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,The instructor method and his input was uplift the application of procedure ,,TECHNICAL,OCCASIONAL,YES,yes,Nil
20/06/2026 18:53:57,4AB,17/06/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,18/06/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nothing ,"Simulator limitation (faults, equipment, supplies), Technical data/FlySmart/Lido mPilot issue",TECHNICAL,RARE,YES,Yes,Nothing 
20/06/2026 21:42:09,4A,15/06/2026,VN-018,4A,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,16/06/2026,VN-001,4B,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,instructor method.,,TECHNICAL,RARE,YES,Yes,
22/06/2026 13:22:33,A321 summer 4AB,20/06/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,21/06/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No,Technical data/FlySmart/Lido mPilot issue,TECHNICAL,RARE,YES,Yes,N/A
23/06/2026 4:37:45,FFS 4A,21/06/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,22/06/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,TECHNICAL,FREQUENT,YES,Yes,
25/06/2026 10:38:51,A320/321 Recurrent Simulator ,20/06/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,21/06/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No suggestions,,OPERATIONAL,OCCASIONAL,YES,Yes,None
27/06/2026 12:13:41,4AB,26/06/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,27/06/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No,,TECHNICAL,OCCASIONAL,YES,Yes,No
27/06/2026 18:35:57,good,25/06/2026,VN-018,4A,FO,MED,MED,MED,MED,MED,MED,MED,YES,,25/06/2026,VN-026,4B,FO,MED,MED,MED,MED,MED,MED,scenario design,Scenario unrealistic,ENVIRONMENT,OCCASIONAL,YES,tes,
30/06/2026 7:53:58,"OPC, LVO, EO, Multi failure",28/06/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,29/06/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,OPERATIONAL,RARE,YES,Yes,Nil
05/07/2026 0:29:22,Recurrent,01/07/2026,VN-036,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,02/07/2026,VN-036,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,N/A,,TECHNICAL,OCCASIONAL,YES,Yes,N/A
06/07/2026 9:26:42,SIM REC TRAINING,04/07/2026,VN-001,4A,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,05/07/2026,VN-001,4B,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,good training method,nil,ENVIRONMENT,FREQUENT,YES,yes,nil
06/07/2026 10:22:57,Sim rec ,02/07/2026,VN-036,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,03/07/2026,VN-036,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No,,OPERATIONAL,OCCASIONAL,YES,Yes. Instructor give me so much scenarios so i can have more experirence.,
06/07/2026 12:10:25,4ab,04/07/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,05/07/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,TECHNICAL,OCCASIONAL,YES,Yes,Nil
08/07/2026 20:18:01,"Informative, helpful ",06/07/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,06/07/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,The session provided a clear and sufficient overview of the topic,,TECHNICAL,RARE,YES,Yes,None
08/07/2026 21:37:31,SUMMER 2026 - FFS 4A,06/07/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,07/07/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"None, all good",,OPERATIONAL,OCCASIONAL,YES,"Yes, by a lot",None for now
09/07/2026 12:40:29,4A/B,08/07/2026,VN-001,4A,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,09/07/2026,VN-001,4B,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"everything was clear, Instructor was perfect!",Simulator scheduling,TECHNICAL,RARE,YES,"yes, absolutely",High level
10/07/2026 9:55:17,Proficient,03/07/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,04/07/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,N/A,,OPERATIONAL,OCCASIONAL,YES,Yes,
18/07/2026 11:16:43,Good,18/07/2026,VN-018,4A,CAPTAIN,MED,MED,MED,MED,MED,MED,MED,NO,No,18/07/2026,VN-018,4B,CAPTAIN,MED,MED,MED,MED,MED,MED,No,No,ENVIRONMENT,RARE,NO,Yes,No
18/07/2026 11:16:45,4a,18/07/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,Nothing,18/07/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nothing,,ENVIRONMENT,RARE,NO,Yes,No
18/07/2026 11:44:52,A320/A321 RECURRENT - SUMMER 2026 - FFS 4A,14/07/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,15/07/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,instruction from Instructor help me improving so much,,ENVIRONMENT,OCCASIONAL,YES,yes,
18/07/2026 12:59:10,Fwd cargo door open,13/07/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,14/07/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No,,ENVIRONMENT,RARE,YES,Yes,
